theta_deg,k_Ix,k_Iy,k_Iz,k_Rx,k_Ry,k_Rz,k_Tx,k_Ty,k_Tz,r_s,t_s,R_s_amp,T_s_amp,r_p,t_p,R_p_amp,T_p_amp
0,12566370.614359174,0.0,0.0,-12566370.614359174,0.0,0.0,18849555.921538763,0.0,0.0,-0.2,0.8,-0.2,0.8,-0.2,0.8,-0.2,0.8
15,12138181.919129552,0.0,3252416.042812818,-12138181.919129552,0.0,3252416.042812818,18566840.01987605,0.0,3252416.042812818,-0.20936829530741874,0.7906317046925813,-0.20936829530741874,0.7906317046925813,0.19059499265668106,0.7937299951044541,0.19059499265668106,0.7937299951044541
30,10882796.185405308,0.0,6283185.307179586,-10882796.185405308,0.0,6283185.307179586,17771531.75263347,0.0,6283185.307179586,-0.24040820577345742,0.7595917942265425,-0.24040820577345742,0.7595917942265425,0.15889980034106396,0.7725998668940426,0.15889980034106396,0.7725998668940426
45,8885765.876316734,0.0,8885765.876316732,-8885765.876316734,0.0,8885765.876316732,16623745.764132168,0.0,8885765.876316732,-0.30333704529042343,0.6966629547095766,-0.30333704529042343,0.6966629547095766,0.0920133630455244,0.7280089086970162,0.0920133630455244,0.7280089086970162
60,6283185.307179588,0.0,10882796.185405307,-6283185.307179588,0.0,10882796.185405307,15390597.961942375,0.0,10882796.185405307,-0.42020410288672866,0.5797958971132714,-0.42020410288672866,0.5797958971132714,-0.04244923464074498,0.63836717690617,-0.04244923464074498,0.63836717690617
75,3252416.042812818,0.0,12138181.919129552,-3252416.042812818,0.0,12138181.919129552,14421175.338277163,0.0,12138181.919129552,-0.6319462216046513,0.3680537783953487,-0.6319462216046513,0.3680537783953487,-0.32674929071115727,0.4488338061925618,-0.32674929071115727,0.4488338061925618
85,1095231.3645368188,0.0,12518551.780280521,-1095231.3645368188,0.0,12518551.780280521,14092253.89225061,0.0,12518551.780280521,-0.8557718613689057,0.1442281386310943,-0.8557718613689057,0.1442281386310943,-0.7023203057144607,0.19845312952369287,-0.7023203057144607,0.19845312952369287
